SONG_ID,SOURCE,ANNOTATOR1,ANNOTATOR2,FILE_LOCATION,SONG_DURATION,EMPTY,SONG_TITLE,ARTIST,FORMAT,ANNOTATION_TIME1,ANNOTATION_TIME2,TEXTFILE1,TEXTFILE2,CLASS,GENRE,SUBMISSION_DATE1,SUBMISSION_DATE2,SONG_WAS_PRIVATE_FLAG,SONG_WAS_DISCARDED_FLAG,XEQS1,XEQS2
42,Codaich,2,8,/srv/salami/data/Codaich/jazz/Compilations/San_Fransisco_Bay_Blues,257,,San_Fransisco_Bay_Blues,Compilations,mp3,15,15,/srv/salami/data/Codaich/jazz/Compilations/San_Fransisco_Bay_Blues/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/San_Fransisco_Bay_Blues/textfile2.txt,jazz,Blues_-_Country_Blues,2010-07-26,2010-07-06,0,FALSE,0,0
44,Codaich,3,5,/srv/salami/data/Codaich/jazz/Mississippi_Heat/Straight_From_the_Heart,337,,Straight_From_the_Heart,Mississippi_Heat,mp3,20,25,/srv/salami/data/Codaich/jazz/Mississippi_Heat/Straight_From_the_Heart/textfile1.txt,/srv/salami/data/Codaich/jazz/Mississippi_Heat/Straight_From_the_Heart/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-28,2010-07-24,0,FALSE,0,0
46,Codaich,2,5,/srv/salami/data/Codaich/jazz/Muddy_Waters/Evil,139,,Evil,Muddy_Waters,mp3,10,20,/srv/salami/data/Codaich/jazz/Muddy_Waters/Evil/textfile1.txt,/srv/salami/data/Codaich/jazz/Muddy_Waters/Evil/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-07-26,2010-07-27,0,FALSE,0,0
48,Codaich,4,6,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood,173,,Knock_On_Wood,James_Cotton,mp3,20,15,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood/textfile1.txt,/srv/salami/data/Codaich/jazz/James_Cotton/Knock_On_Wood/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-07-13,2010-07-17,0,FALSE,0,0
50,Codaich,2,7,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues,189,,After_Hours_Blues,Compilations,mp3,15,10,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/After_Hours_Blues/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-19,2010-06-14,0,FALSE,0,0
52,Codaich,3,9,/srv/salami/data/Codaich/jazz/Big_Mama_Thornton/Looking_the_World_Over,132,,Looking_the_World_Over,Big_Mama_Thornton,mp3,15,10,/srv/salami/data/Codaich/jazz/Big_Mama_Thornton/Looking_the_World_Over/textfile1.txt,/srv/salami/data/Codaich/jazz/Big_Mama_Thornton/Looking_the_World_Over/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-28,2010-08-01,0,FALSE,0,0
54,Codaich,3,6,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right,178,,Ain__t_Treating_Me_Right,Compilations,mp3,20,25,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Ain__t_Treating_Me_Right/textfile2.txt,jazz,Blues_-_Urban_Blues,2010-06-28,2010-07-17,0,FALSE,0,0
56,Codaich,16,14,/srv/salami/data/Codaich/classical/Sarah_Chang/Nocturne_No_3_Op,191,,Nocturne_No_3_Op,Sarah_Chang,mp3,15,,/srv/salami/data/Codaich/classical/Sarah_Chang/Nocturne_No_3_Op/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-02-25,,0,FALSE,0,0
58,Codaich,7,8,/srv/salami/data/Codaich/classical/Nobuko_Imai____Roland_Po_ntinen/Sonata_for_Viola____Piano_Op,331,,Sonata_for_Viola____Piano_Op,Nobuko_Imai____Roland_Po_ntinen,mp3,30,30,/srv/salami/data/Codaich/classical/Nobuko_Imai____Roland_Po_ntinen/Sonata_for_Viola____Piano_Op/textfile1.txt,/srv/salami/data/Codaich/classical/Nobuko_Imai____Roland_Po_ntinen/Sonata_for_Viola____Piano_Op/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-12-27,2010-07-29,0,FALSE,0,0
60,Codaich,3,7,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala,194,,Firebird___Disappearance_of_the_pala,Compilations,mp3,15,25,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Firebird___Disappearance_of_the_pala/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-06-20,2010-06-17,0,FALSE,0,0
62,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Lady_Macbeth_Of_The_Mtsensk_District_1,33,,Lady_Macbeth_Of_The_Mtsensk_District_1,Compilations,mp3,5,7,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-06-23,0,TRUE,0,0
64,Codaich,16,14,/srv/salami/data/Codaich/classical/Alban_Berg_Quartet/String_Quartet_No,559,,String_Quartet_No,Alban_Berg_Quartet,mp3,35,,/srv/salami/data/Codaich/classical/Alban_Berg_Quartet/String_Quartet_No/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-03-07,,0,FALSE,0,0
66,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/They_Are_There_____1,40,,They_Are_There_____1,Compilations,mp3,4,5,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-08-09,0,TRUE,0,0
68,Codaich,2,6,/srv/salami/data/Codaich/classical/Quartetto_Italiano/String_Quartet_in_F___III,544,,String_Quartet_in_F___III,Quartetto_Italiano,mp3,25,25,/srv/salami/data/Codaich/classical/Quartetto_Italiano/String_Quartet_in_F___III/textfile1.txt,/srv/salami/data/Codaich/classical/Quartetto_Italiano/String_Quartet_in_F___III/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-23,0,FALSE,0,0
70,Codaich,10,8,/srv/salami/data/Codaich/classical/Yuri_Bashmet____Mikhail_Muntian/Sonata_for_Viola_and_Piano_Op,1074,,Sonata_for_Viola_and_Piano_Op,Yuri_Bashmet____Mikhail_Muntian,mp3,2,140,,/srv/salami/data/Codaich/classical/Yuri_Bashmet____Mikhail_Muntian/Sonata_for_Viola_and_Piano_Op/textfile2.txt,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-06-17,0,FALSE,0,0
72,Codaich,16,14,/srv/salami/data/Codaich/classical/Compilations/L__Histoire_du_Soldat___6,365,,L__Histoire_du_Soldat___6,Compilations,mp3,55,,/srv/salami/data/Codaich/classical/Compilations/L__Histoire_du_Soldat___6/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-03-02,,0,FALSE,0,0
74,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Vers_La_Flamme___Poeme_Pour_Piano___1,191,,Vers_La_Flamme___Poeme_Pour_Piano___1,Compilations,mp3,2,5,,,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-27,0,TRUE,0,0
76,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Wozzeck___Act_III___Scenes_3_and_4___2,72,,Wozzeck___Act_III___Scenes_3_and_4___2,Compilations,mp3,4,6,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-07-23,0,TRUE,0,0
78,Codaich,2,7,/srv/salami/data/Codaich/classical/Steven_Dann____Bruce_Vogt/Sonata_for_Viola_and_Piano_Impetuoso,468,,Sonata_for_Viola_and_Piano_Impetuoso,Steven_Dann____Bruce_Vogt,mp3,20,30,/srv/salami/data/Codaich/classical/Steven_Dann____Bruce_Vogt/Sonata_for_Viola_and_Piano_Impetuoso/textfile1.txt,/srv/salami/data/Codaich/classical/Steven_Dann____Bruce_Vogt/Sonata_for_Viola_and_Piano_Impetuoso/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-06,0,FALSE,0,0
80,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Pro_et_Contra___III___1,65,,Pro_et_Contra___III___1,Compilations,mp3,3,9,,,classical,Classical_-_20th_Century_Classical,2010-06-24,2010-07-31,0,TRUE,0,0
82,Codaich,4,6,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2,115,,Nach_Bach__Fantasy_for_harpsichord_o_2,Compilations,mp3,15,15,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Nach_Bach__Fantasy_for_harpsichord_o_2/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-10-16,2010-07-23,0,FALSE,0,0
84,Codaich,10,9,/srv/salami/data/Codaich/classical/Compilations/Black_Angels_for_Electric_String_Qua,113,,Black_Angels_for_Electric_String_Qua,Compilations,mp3,5,9,,,classical,Classical_-_20th_Century_Classical,2010-08-04,2010-11-01,0,TRUE,0,0
86,Codaich,7,8,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No,630,,String_Quartet_No,Borodin_String_Quartet,mp3,35,45,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No/textfile1.txt,/srv/salami/data/Codaich/classical/Borodin_String_Quartet/String_Quartet_No/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-12-29,2010-08-07,0,FALSE,0,0
88,Codaich,4,7,/srv/salami/data/Codaich/classical/Compilations/Sinfonietta___II,326,,Sinfonietta___II,Compilations,mp3,25,35,/srv/salami/data/Codaich/classical/Compilations/Sinfonietta___II/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Sinfonietta___II/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-10-16,2010-07-06,0,FALSE,0,0
90,Codaich,10,7,/srv/salami/data/Codaich/classical/Steve_Reich____Musicians/Octet___4_79__,1049,,Octet___4_79__,Steve_Reich____Musicians,mp3,5,90,,/srv/salami/data/Codaich/classical/Steve_Reich____Musicians/Octet___4_79__/textfile2.txt,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-06-17,0,FALSE,0,0
92,Codaich,16,14,/srv/salami/data/Codaich/classical/Compilations/Pierrot_Lunaire___Madonna,110,,Pierrot_Lunaire___Madonna,Compilations,mp3,15,,/srv/salami/data/Codaich/classical/Compilations/Pierrot_Lunaire___Madonna/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-03-07,,0,FALSE,0,0
94,Codaich,16,14,/srv/salami/data/Codaich/classical/Compilations/Violin_Sonata___Second_movement___2,71,,Violin_Sonata___Second_movement___2,Compilations,mp3,15,,/srv/salami/data/Codaich/classical/Compilations/Violin_Sonata___Second_movement___2/textfile1.txt,,classical,Classical_-_20th_Century_Classical,2011-03-02,,0,FALSE,0,0
96,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Lux_Aeterna___1,148,,Lux_Aeterna___1,Compilations,mp3,2,6,,,classical,Classical_-_20th_Century_Classical,2011-01-31,2010-07-23,0,TRUE,0,0
98,Codaich,2,8,/srv/salami/data/Codaich/classical/Montreal_Symphony_Orchestra___Charles_Du/Concerto_in_D___Rondo,211,,Concerto_in_D___Rondo,Montreal_Symphony_Orchestra___Charles_Du,mp3,20,20,/srv/salami/data/Codaich/classical/Montreal_Symphony_Orchestra___Charles_Du/Concerto_in_D___Rondo/textfile1.txt,/srv/salami/data/Codaich/classical/Montreal_Symphony_Orchestra___Charles_Du/Concerto_in_D___Rondo/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-27,0,FALSE,0,0
100,Codaich,3,5,/srv/salami/data/Codaich/classical/Neues_Leipziger_String_Quartet/Five_Movements_For_String_Quartet_Op,147,,Five_Movements_For_String_Quartet_Op,Neues_Leipziger_String_Quartet,mp3,30,60,/srv/salami/data/Codaich/classical/Neues_Leipziger_String_Quartet/Five_Movements_For_String_Quartet_Op/textfile1.txt,/srv/salami/data/Codaich/classical/Neues_Leipziger_String_Quartet/Five_Movements_For_String_Quartet_Op/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-06-20,2010-06-17,0,FALSE,0,0
102,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/Philomel__Section_I___3,44,,Philomel__Section_I___3,Compilations,mp3,2,5,,,classical,Classical_-_20th_Century_Classical,2010-07-26,2010-07-28,0,TRUE,0,0
104,Codaich,4,6,/srv/salami/data/Codaich/classical/Claude_Lamothe/Blue_fiddle,183,,Blue_fiddle,Claude_Lamothe,mp3,15,15,/srv/salami/data/Codaich/classical/Claude_Lamothe/Blue_fiddle/textfile1.txt,/srv/salami/data/Codaich/classical/Claude_Lamothe/Blue_fiddle/textfile2.txt,classical,Classical_-_20th_Century_Classical,2010-09-24,2010-07-24,0,FALSE,0,0
106,Codaich,10,10,/srv/salami/data/Codaich/classical/Compilations/L__Orfeo__Prologue___And_Act_II___Excer_2,45,,L__Orfeo__Prologue___And_Act_II___Excer_2,Compilations,mp3,2,7,,,classical,Classical_-_Baroque,2011-01-31,2010-07-06,0,TRUE,0,0
108,Codaich,16,14,/srv/salami/data/Codaich/classical/Jordi_Saval/Tombeau_pour_Mr,431,,Tombeau_pour_Mr,Jordi_Saval,mp3,40,,/srv/salami/data/Codaich/classical/Jordi_Saval/Tombeau_pour_Mr/textfile1.txt,,classical,Classical_-_Baroque,2011-03-14,,0,FALSE,0,0
110,Codaich,3,6,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Macklean_Sonata_I___Allegro,117,,Macklean_Sonata_I___Allegro,Puirt_A_Baroque,mp3,15,15,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Macklean_Sonata_I___Allegro/textfile1.txt,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Macklean_Sonata_I___Allegro/textfile2.txt,classical,Classical_-_Baroque,2010-06-20,2010-06-17,0,FALSE,0,0
112,Codaich,16,14,/srv/salami/data/Codaich/classical/Anner_Bylsma/Cello_Suite_No,187,,Cello_Suite_No,Anner_Bylsma,mp3,20,,/srv/salami/data/Codaich/classical/Anner_Bylsma/Cello_Suite_No/textfile1.txt,,classical,Classical_-_Baroque,2011-03-14,,0,FALSE,0,0
114,Codaich,7,8,/srv/salami/data/Codaich/classical/Vladimir_Horowitz/Sonata_in_F_minor___K466,297,,Sonata_in_F_minor___K466,Vladimir_Horowitz,mp3,25,20,/srv/salami/data/Codaich/classical/Vladimir_Horowitz/Sonata_in_F_minor___K466/textfile1.txt,/srv/salami/data/Codaich/classical/Vladimir_Horowitz/Sonata_in_F_minor___K466/textfile2.txt,classical,Classical_-_Baroque,2010-11-01,2010-07-27,0,FALSE,0,0
116,Codaich,4,7,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A,273,,Historia_Di_Jephte__Plorate_Colles_A,Compilations,mp3,20,20,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Historia_Di_Jephte__Plorate_Colles_A/textfile2.txt,classical,Classical_-_Baroque,2010-10-16,2010-07-06,0,FALSE,0,0
118,Codaich,5,7,/srv/salami/data/Codaich/classical/The_Academy_Of_Ancient_Music___Christoph/Dido____Aeneas__Act_2_In_our_deep_vau,71,,Dido____Aeneas__Act_2_In_our_deep_vau,The_Academy_Of_Ancient_Music___Christoph,mp3,15,10,/srv/salami/data/Codaich/classical/The_Academy_Of_Ancient_Music___Christoph/Dido____Aeneas__Act_2_In_our_deep_vau/textfile1.txt,/srv/salami/data/Codaich/classical/The_Academy_Of_Ancient_Music___Christoph/Dido____Aeneas__Act_2_In_our_deep_vau/textfile2.txt,classical,Classical_-_Baroque,2010-07-24,2010-07-13,0,FALSE,0,0
120,Codaich,3,4,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr,108,,Pre_lude_pour_Mr,Jordi_Saval,mp3,15,15,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr/textfile1.txt,/srv/salami/data/Codaich/classical/Jordi_Saval/Pre_lude_pour_Mr/textfile2.txt,classical,Classical_-_Baroque,2010-06-20,2010-09-24,0,FALSE,0,0
122,Codaich,16,14,/srv/salami/data/Codaich/classical/Lars_Ulrik_Mortensen/Praeludium_G_Minor,424,,Praeludium_G_Minor,Lars_Ulrik_Mortensen,mp3,25,,/srv/salami/data/Codaich/classical/Lars_Ulrik_Mortensen/Praeludium_G_Minor/textfile1.txt,,classical,Classical_-_Baroque,2011-03-21,,0,FALSE,0,0
124,Codaich,16,14,/srv/salami/data/Codaich/classical/Jordi_Saval/Concert_LIV__La_Dubois,1078,,Concert_LIV__La_Dubois,Jordi_Saval,mp3,70,,/srv/salami/data/Codaich/classical/Jordi_Saval/Concert_LIV__La_Dubois/textfile1.txt,,classical,Classical_-_Baroque,2011-03-21,,0,FALSE,0,0
126,Codaich,2,8,/srv/salami/data/Codaich/classical/Sofia_Chamber_Choir/Missa_a_cappella___Kyrie,179,,Missa_a_cappella___Kyrie,Sofia_Chamber_Choir,mp3,15,15,/srv/salami/data/Codaich/classical/Sofia_Chamber_Choir/Missa_a_cappella___Kyrie/textfile1.txt,/srv/salami/data/Codaich/classical/Sofia_Chamber_Choir/Missa_a_cappella___Kyrie/textfile2.txt,classical,Classical_-_Baroque,2010-07-26,2010-07-08,0,FALSE,0,0
128,Codaich,4,5,/srv/salami/data/Codaich/classical/Compilations/Suite_In_D_Major__Prince_Of_Denmark__,126,,Suite_In_D_Major__Prince_Of_Denmark__,Compilations,mp3,15,20,/srv/salami/data/Codaich/classical/Compilations/Suite_In_D_Major__Prince_Of_Denmark__/textfile1.txt,/srv/salami/data/Codaich/classical/Compilations/Suite_In_D_Major__Prince_Of_Denmark__/textfile2.txt,classical,Classical_-_Baroque,2010-10-15,2010-08-09,0,FALSE,0,0
130,Codaich,2,5,/srv/salami/data/Codaich/classical/Stradivaria/Gigue,85,,Gigue,Stradivaria,mp3,25,10,/srv/salami/data/Codaich/classical/Stradivaria/Gigue/textfile1.txt,/srv/salami/data/Codaich/classical/Stradivaria/Gigue/textfile2.txt,classical,Classical_-_Baroque,2010-06-20,2010-06-17,0,FALSE,0,0
132,Codaich,4,6,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal,168,,Bonnocks_of_Beer_Meal,Puirt_A_Baroque,mp3,15,15,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal/textfile1.txt,/srv/salami/data/Codaich/classical/Puirt_A_Baroque/Bonnocks_of_Beer_Meal/textfile2.txt,classical,Classical_-_Baroque,2010-09-24,2010-07-30,0,FALSE,0,0
