salami_id,Album,Album Artist,Artist,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,File Folder Count,Genre,Grouping,Kind,Library Folder Count,Location,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Sample Rate,Size,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Volume Adjustment,Year
56,Sweet Sorrow,,Sarah Chang,,,192,From CD,,Jean Sibelius,2010-04-24 22:08:23,2006-09-30 23:58:42,,,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Sarah%20Chang/Sweet%20Sorrow/Nocturne%20No%203%20Op.%2051,%20from%20Belshazza.mp3","Nocturne No 3 Op. 51, from Belshazzar's Feast",B2E13BD213D03C54,,,,44100,4608385,,,,,191921,13,227066,9,File,,1999
58,Paul Hindemith - The Sonatas for Viola and PIano / Meditation,,Nobuko Imai & Roland Pöntinen,,,192,From CD,,Paul Hindemith,2010-04-24 22:08:15,2006-09-30 23:58:34,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Nobuko%20Imai%20&%20Roland%20Po%CC%88ntinen/Paul%20Hindemith%20-%20The%20Sonatas%20for%20Viola%20a/Sonata%20for%20Viola%20&%20Piano%20Op.%2025%20No.%202.mp3,Sonata for Viola & Piano Op. 25 No. 4 - III. Finale. Lebhafte Viertel,1ACB093156383EAB,,,,44100,7948131,,,,,331075,11,226172,6,File,,1994
60,Stravinsky Janacek Bartok Lutoslawski,,Orchestre de Paris - Seiji Ozawa,,,192,From CD,True,Igor Stravinsky,2010-04-24 22:07:09,2006-09-30 23:58:36,2,1,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Stravinsky%20Janacek%20Bartok%20Lutoslawski/Firebird%20-%20Disappearance%20of%20the%20pala.mp3,Firebird - Disappearance of the palace ... General thankgiving,4B48DE22136EE3F0,,,,44100,4675502,,,,,194716,29,221066,24,File,,
62,Norton Recorded Anthology of Western Music,,London Philharmonic Orchestra - Mstislav Rostropovich,,,192,From CD,True,Dmitri Shostakovich,2010-04-24 22:06:50,2006-09-30 23:58:22,12,11,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Lady%20Macbeth%20Of%20The%20Mtsensk%20District%201.mp3,Lady Macbeth Of The Mtsensk District: Act IV (excerpt) - 4,DC5C261A83A4ED4F,,,,44100,804789,,,,,33436,57,219380,36,File,,
64,Bartok String Quartets Nos. 1-6,,Alban Berg Quartet,,,192,From CD,,Béla Bartók,2010-04-24 22:05:56,2006-09-30 23:57:22,3,1,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Alban%20Berg%20Quartet/Bartok%20String%20Quartets%20Nos.%201-6/String%20Quartet%20No.%201%20in%20A%20Minor%20Op..mp3,String Quartet No. 1 in A Minor Op. 7 - 1st Movement,EB4378B702E76BB2,,,,44100,13423179,,,,,559203,6,214829,1,File,,
66,Norton Recorded Anthology of Western Music,,Gregg Smith Singers & The American Symphony Orchestra - Leopold Stokowski,,,192,From CD,True,Charles Ives,2010-04-24 22:07:02,2006-09-30 23:58:08,12,12,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/They%20Are%20There!%20-%201.mp3,They Are There! - 1,346D8B90DDF4E34A,,,,44100,970868,,,,,40359,46,220349,7,File,,
68,Debussy & Ravel: String Quartets,,Quartetto Italiano,,,192,From CD,,Maurice Ravel,2010-04-24 22:08:20,2006-09-30 23:58:40,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Quartetto%20Italiano/Debussy%20&%20Ravel_%20String%20Quartets/String%20Quartet%20in%20F%20-%20III.%20Tre%CC%80s%20lent.mp3,String Quartet in F - III. Très lent,84A764CA3CF33E34,,,,44100,13059535,,,,,544052,8,226760,7,File,,1966
70,Glinka Roslavets Shostakovich Viola Sonatas,,Yuri Bashmet & Mikhail Muntian,,,192,From CD,,Dmitri Shostakovich,2010-04-24 22:08:51,2006-10-24 18:30:56,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Yuri%20Bashmet%20&%20Mikhail%20Muntian/Glinka%20Roslavets%20Shostakovich%20Viola%20Sona/Sonata%20for%20Viola%20and%20Piano%20Op.147a%20-%202.mp3,Sonata for Viola and Piano Op.147a - III. Adagio,0D846877E0EB6020,,,,44100,25781380,,,,,1074128,6,229802,6,File,,1992
72,"Stravinsky: L'Histoire du Soldat, etc.",,Prague Chamber Harmony - Libor Pesek,,,192,From CD,True,Igor Stravinsky,2010-04-24 22:07:09,2006-09-30 23:58:38,,,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Stravinsky_%20L'Histoire%20du%20Soldat,%20etc_/L'Histoire%20du%20Soldat%20-%206.%20Trois%20dans.mp3",L'Histoire du Soldat - 6. Trois danses,F7ACFC901092B934,,,,44100,8784511,,,,,365923,17,221153,6,File,,1992
74,Norton Recorded Anthology of Western Music,,Vladimir Horowitz,,,192,From CD,True,Alexander Scriabin,2010-04-24 22:07:03,2006-09-30 23:58:52,12,11,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Vers%20La%20Flamme,%20Poeme%20Pour%20Piano%20-%201.mp3","Vers La Flamme, Poeme Pour Piano - 1",1260553E28CD03D7,,,,44100,4593934,,,,,191320,57,220451,3,File,,
76,Listen Brief 4th Edition,,Vienna Philharmonic Orchestra - Christoph Dohnanyi,,,192,From CD,True,Alban Berg,2010-04-24 22:06:41,2006-10-04 02:07:46,6,5,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Listen%20Brief%204th%20Edition/Wozzeck,%20Act%20III,%20Scenes%203%20and%204%20-%202.mp3","Wozzeck, Act III, Scenes 3 and 4 - 2",94F05434B4CDCE8F,,,,44100,1732610,,,,,72097,46,218438,29,File,,2000
78,A Portrait of the Viola,,Steven Dann & Bruce Vogt,,,192,From CD,,Rebecca Clarke,2010-04-24 22:08:26,2006-09-30 23:58:44,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Steven%20Dann%20&%20Bruce%20Vogt/A%20Portrait%20of%20the%20Viola/Sonata%20for%20Viola%20and%20Piano_Impetuoso.mp3,Sonata for Viola and Piano:Impetuoso,144A32ED445BC63C,,,,44100,11237620,Portrait of the Viola,,,,468140,15,227354,1,File,,1994
80,Listen Brief 4th Edition,,Radio Philharmonie Hannover des NDR - Johannes Kalitzke,,,192,From CD,True,Sofia Gubaidulina,2010-04-24 22:06:38,2006-09-30 23:58:40,6,6,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Listen%20Brief%204th%20Edition/Pro%20et%20Contra%20-%20III%20-%201.mp3,Pro et Contra - III - 1,BA5CF3156CA20751,,,,44100,1570225,,,,,65332,38,218144,16,File,,2002
82,Norton Recorded Anthology of Western Music,,Igor Kipnis,,,192,From CD,True,George Rochberg,2010-04-24 22:06:53,2006-09-30 23:58:12,12,12,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Nach%20Bach_%20Fantasy%20for%20harpsichord%20o%202.mp3,Nach Bach: Fantasy for harpsichord or piano - 3,B7DF6B31F716145E,,,,44100,2776425,,,,,115591,46,219608,46,File,,
84,Norton Recorded Anthology of Western Music,,The New York String Quartet,,,192,From CD,True,George Crumb,2010-04-24 22:06:45,2006-10-04 01:50:36,12,12,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Black%20Angels%20for%20Electric%20String%20Qua.mp3,Black Angels for Electric String Quartet - Images 4 to 9 - 1,AD9D661AF054A64F,,,,44100,2726904,,,New York String Quartet,,113528,46,218789,24,File,,
86,String Quartets,,Borodin String Quartet,,,192,From CD,,Dmitri Shostakovich,2010-04-24 22:06:13,2006-09-30 23:57:34,2,2,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Borodin%20String%20Quartet/String%20Quartets/String%20Quartet%20No.%203%20In%20F%20Major%20Op.%204.mp3,"String Quartet No. 3 In F Major Op. 73, Moderato",BB80B78451D436FE,,,,44100,15140954,,,,,630778,13,216551,13,File,,1991
88,Stravinsky Janacek Bartok Lutoslawski,,Chicago Symphony Orchestra - Seiji Ozawa,,,192,From CD,True,Leos Janácek,2010-04-24 22:07:09,2006-09-30 23:57:38,2,1,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Stravinsky%20Janacek%20Bartok%20Lutoslawski/Sinfonietta%20_%20II.%20Andante.mp3,Sinfonietta : II. Andante,B8C2A0CC4A6053F2,,,,44100,7830828,,,,,326191,29,221117,26,File,,
90,"Octet, Music for a Large Ensemble, Violin Phase",,Steve Reich & Musicians,,,192,From CD,,Steve Reich,2010-04-24 22:08:26,2006-09-30 23:58:44,,,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Steve%20Reich%20&%20Musicians/Octet,%20Music%20for%20a%20Large%20Ensemble,%20Violi/Octet%20(4_79).mp3",Octet (4/79),0D992C6963CF2C49,,,,44100,25187012,,,,,1049364,3,227312,3,File,,1980
92,Understanding Music,,Fires of London,,,192,From CD,True,Arnold Schoenberg,2010-04-24 22:07:13,2006-09-30 23:58:04,3,3,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Understanding%20Music/Pierrot%20Lunaire%20-%20Madonna.mp3,Pierrot Lunaire - Madonna,6AFA882350BE614C,,,,44100,2643404,,,,,110053,63,221588,22,File,,
94,Norton Recorded Anthology of Western Music,,Ida Kavafian & Vivian Fine,,,192,From CD,True,Ruth Crawford Seeger,2010-04-24 22:07:03,2006-09-30 23:58:12,12,12,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Violin%20Sonata%20-%20Second%20movement%20-%202.mp3,Violin Sonata - Second movement - 2,088B42D025A9978D,,,,44100,1718181,,,,,71497,46,220490,11,File,,
96,Listen Brief 4th Edition,,London Sinfonietta - Terry Edwards,,,192,From CD,True,György Ligeti,2010-04-24 22:06:35,2006-09-30 23:58:22,6,6,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Listen%20Brief%204th%20Edition/Lux%20Aeterna%20-%201.mp3,Lux Aeterna - 1,03EF5A31EAF08EE7,,,,44100,3558235,,,,,148166,38,217991,6,File,,2002
98,"Apollo, Concerto in D, Dumbarton Oaks",,Montreal Symphony Orchestra - Charles Dutoit,,,192,From CD,,Igor Stravinsky,2010-04-24 22:08:06,2006-09-30 23:58:28,,,5,Classical - 20th Century Classical,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Montreal%20Symphony%20Orchestra%20-%20Charles%20Du/Apollo,%20Concerto%20in%20D,%20Dumbarton%20Oaks/Concerto%20in%20D%20-%20Rondo.mp3",Concerto in D - Rondo,B5B9087DC649C191,,,,44100,5083589,,,,,211722,21,225605,11,File,,1994
100,Webern - Complete Works For String Quartet - Neues Leipziger Streichquartett,,Neues Leipziger String Quartet,,,192,From CD,,Anton Webern,2010-04-24 22:08:13,2006-09-30 23:58:32,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Neues%20Leipziger%20String%20Quartet/Webern%20-%20Complete%20Works%20For%20String%20Quart/Five%20Movements%20For%20String%20Quartet%20Op.mp3,Five Movements For String Quartet Op. 5 (1909) Heftig Bewegt,02C89BD7D01937BD,,,,44100,3550752,,,,,147853,18,225950,5,File,,
102,Norton Recorded Anthology of Western Music,,Bethany Beardslee,,,192,From CD,True,Milton Babbitt,2010-04-24 22:06:55,2006-09-30 23:57:32,12,12,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/Philomel_%20Section%20I%20-%203.mp3,Philomel: Section I - 3,21C4416D5F7D8F87,,,,44100,1079942,,,,,44904,46,219770,32,File,,
104,Nu,,Claude Lamothe,,,192,From CD,,Claude Lamothe,2010-04-24 22:06:23,2006-09-30 23:57:42,,,5,Classical - 20th Century Classical,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Claude%20Lamothe/Nu/Blue%20fiddle.mp3,Blue fiddle,890706D65E7A338C,,,,44100,4408909,,,,,183614,11,217331,2,File,,
106,Norton Recorded Anthology of Western Music,,Nigel Roger,,,192,From CD,True,Claudio Monteverdi,2010-04-24 22:06:50,2006-09-30 23:58:32,12,3,5,Classical - Baroque,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Compilations/Norton%20Recorded%20Anthology%20of%20Western%20Mus/L'Orfeo_%20Prologue,%20And%20Act%20II%20(Excer%202.mp3","L'Orfeo: Prologue, And Act II (Excerpts) - 15",BC25130CF3A122E0,,,,44100,1091272,,,,,45374,56,219299,56,File,,
108,Tous les matins du monde,,Jordi Saval,,,160,From UoM,,Marin Marais,2010-04-24 22:07:41,2006-09-30 23:58:16,,,5,Classical - Baroque,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Jordi%20Saval/Tous%20les%20matins%20du%20monde/Tombeau%20pour%20Mr.%20de%20Sainte%20Colombe..mp3,Tombeau pour Mr. de Sainte Colombe. 2ème livre de Pièces de viole,6C31D4F16E4527C4,,,,44100,8641506,,,,,431960,16,224201,14,File,,1991
110,Kinloch's Fantasy,,Puirt a Baroque,,,192,From CD,,,2010-04-24 22:08:20,2006-09-30 23:58:38,,,5,Classical - Baroque,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Classical/Puirt%20A%20Baroque/Kinloch's%20Fantasy/Macklean%20Sonata%20I%20-%20Allegro.mp3,Macklean Sonata I - Allegro,16324AF942F6FC88,,,,44100,2815254,,,,,117211,20,226727,12,File,,
